"","Age","Attrition","BusinessTravel","Department","DistanceFromHome","Education","EducationField","Gender","JobLevel","JobRole","MaritalStatus","MonthlyIncome","NumCompaniesWorked","PercentSalaryHike","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","YearsAtCompany","YearsSinceLastPromotion","YearsWithCurrManager","EnvironmentSatisfaction","JobSatisfaction","WorkLifeBalance","JobInvolvement","PerformanceRating","AvgHrs"
"644",48,"Stayed","Travel-Rarely","Research & Development",1,"Master","Life Sciences","Female","2","Laboratory Technician","Single",132370,5,13,"1",7,2,1,0,0,"Very High","Medium","Good","Very High","Excellent",6.09
"645",27,"Stayed","Travel-Rarely","Research & Development",6,"Master","Life Sciences","Male","2","Laboratory Technician","Divorced",37550,1,19,"0",5,2,5,0,3,"Low","High","Better","High","Excellent",7.98
"646",29,"Stayed","Travel-Rarely","Sales",17,"Master","Medical","Male","1","Laboratory Technician","Divorced",65820,1,19,"1",6,3,6,1,0,"High","Very High","Better","High","Excellent",8.8
"647",48,"Stayed","Travel-Rarely","Sales",1,"Below College","Marketing","Male","2","Manufacturing Director","Single",74060,6,14,"2",25,2,1,0,0,"Very High","Very High","Best","High","Excellent",6.18
"648",29,"Stayed","Travel-Rarely","Research & Development",3,"Bachelor","Technical Degree","Female","2","Healthcare Representative","Divorced",48050,2,16,"1",9,2,7,1,7,"Very High","Very High","Good","High","Excellent",6.92
"649",34,"Stayed","Travel-Rarely","Sales",9,"Master","Medical","Female","2","Laboratory Technician","Married",27410,0,15,"1",2,3,1,0,0,"High","High","Good","High","Excellent",5.98
"650",44,"Stayed","Travel-Rarely","Research & Development",4,"Bachelor","Life Sciences","Female","1","Laboratory Technician","Married",42620,7,18,"0",26,2,22,3,10,"Medium","Medium","Better","High","Excellent",7.02
"651",33,"Stayed","Travel-Rarely","Research & Development",8,"College","Life Sciences","Female","2","Research Scientist","Divorced",161840,0,13,"1",10,2,9,0,8,"Very High","High","Better","Very High","Excellent",11.03
"652",19,"Stayed","Travel-Rarely","Sales",2,"Master","Marketing","Male","3","Laboratory Technician","Single",115570,1,22,"0",1,0,1,0,1,"Medium","Very High","Better","High","Outstanding",10.78
"653",23,"Stayed","Travel-Rarely","Sales",2,"Bachelor","Medical","Male","3","Laboratory Technician","Married",18780,1,13,"1",1,2,1,0,1,"Very High","High","Better","High","Excellent",7.48
"654",25,"Left","Travel-Frequently","Research & Development",1,"Below College","Life Sciences","Male","1","Manufacturing Director","Single",109320,1,11,"1",1,3,1,1,0,"High","Very High","Better","High","Excellent",9.2
"655",26,"Stayed","Travel-Rarely","Human Resources",9,"Bachelor","Life Sciences","Male","2","Research Scientist","Single",68110,1,11,"1",8,4,8,2,2,"High","Very High","Good","High","Excellent",8.69
"656",45,"Left","Travel-Rarely","Human Resources",12,"Bachelor","Human Resources","Male","2","Laboratory Technician","Single",43060,2,11,"2",26,3,24,1,11,"Low","Medium","Better","High","Excellent",9.88
"657",55,"Stayed","Non-Travel","Research & Development",27,"Bachelor","Life Sciences","Female","2","Manager","Divorced",48590,1,24,"1",34,3,33,15,0,"Very High","Medium","Better","Very High","Outstanding",9.62
"658",21,"Left","Travel-Frequently","Research & Development",20,"College","Medical","Female","4","Research Scientist","Single",53370,1,14,"1",2,2,2,2,2,"Low","High","Bad","High","Excellent",7.59
"659",46,"Stayed","Travel-Rarely","Research & Development",1,"Master","Life Sciences","Male","1","Manufacturing Director","Married",23400,2,13,"1",26,2,11,0,8,"Very High","Medium","Better","Low","Excellent",6.9
"660",34,"Stayed","Travel-Rarely","Sales",13,"Master","Medical","Male","3","Sales Representative","Single",74910,0,14,"1",4,3,3,0,2,"High","Low","Better","Medium","Excellent",8.92
"661",51,"Stayed","Travel-Frequently","Research & Development",14,"Bachelor","Life Sciences","Male","2","Research Director","Divorced",105270,4,14,"0",31,3,29,11,10,"Very High","Medium","Good","High","Excellent",10.99
"662",59,"Stayed","Travel-Rarely","Research & Development",4,"College","Life Sciences","Male","2","Research Scientist","Single",165950,6,21,"1",25,2,9,5,4,"Very High","Very High","Good","High","Outstanding",6.59
"663",34,"Stayed","Travel-Frequently","Sales",14,"Master","Medical","Female","3","Research Scientist","Divorced",88340,4,13,"1",15,1,11,5,10,"High","Medium","Best","High","Excellent",6.8
"664",28,"Stayed","Travel-Frequently","Research & Development",2,"Bachelor","Other","Female","1","Manager","Single",55770,0,19,"0",5,3,4,0,2,"Very High","High","Good","High","Excellent",10.37
"665",44,"Stayed","Travel-Rarely","Research & Development",3,"Master","Life Sciences","Male","2","Research Scientist","Divorced",47070,1,17,"0",26,4,25,14,13,"High","Low","Good","Low","Excellent",7.81
"666",34,"Stayed","Travel-Frequently","Sales",1,"Bachelor","Life Sciences","Male","2","Sales Executive","Married",24000,4,18,"1",14,3,10,1,8,"High","Medium","Best","High","Excellent",7.5
"667",35,"Stayed","Travel-Rarely","Research & Development",9,"Bachelor","Life Sciences","Male","4","Healthcare Representative","Married",98240,0,19,"0",4,2,3,2,2,"High","High","Better","High","Excellent",10.48
"668",42,"Stayed","Travel-Rarely","Research & Development",23,"Master","Life Sciences","Female","1","Manager","Married",64470,6,13,"0",18,3,1,0,0,"Medium","Medium","Better","High","Excellent",9.42
"669",43,"Stayed","Travel-Rarely","Research & Development",7,"College","Medical","Female","1","Laboratory Technician","Single",195020,3,18,"2",23,3,21,15,17,"Very High","Very High","Best","Very High","Excellent",6.41
"670",36,"Stayed","Travel-Rarely","Research & Development",2,"Master","Medical","Male","1","Healthcare Representative","Single",27250,9,21,"1",18,4,16,5,12,"High","Medium","Better","Medium","Outstanding",10.61
"671",44,"Left","Travel-Rarely","Research & Development",21,"Master","Life Sciences","Female","2","Laboratory Technician","Married",62720,1,19,"1",10,3,10,0,5,"Low","Very High","Better","High","Excellent",5.98
"672",28,"Stayed","Travel-Frequently","Research & Development",2,"Bachelor","Life Sciences","Female","2","Sales Representative","Married",21270,1,14,"0",2,3,2,2,2,"Very High","Very High","Better","High","Excellent",9.71
"673",51,"Stayed","Travel-Frequently","Sales",21,"Master","Medical","Male","2","Research Scientist","Single",182000,0,17,"0",8,3,7,7,7,"Medium","High","Good","High","Excellent",6.99
"674",30,"Stayed","Non-Travel","Research & Development",2,"Master","Other","Male","1","Research Scientist","Single",20960,7,11,"3",10,2,8,1,7,"High","High","Better","High","Excellent",9.51
"675",29,"Left","Travel-Rarely","Research & Development",29,"Master","Technical Degree","Female","1","Sales Representative","Divorced",28860,3,13,"0",10,4,7,7,7,"Medium","High","Better","High","Excellent",8.41
"676",28,"Stayed","Travel-Rarely","Sales",1,"Master","Life Sciences","Female","2","Sales Representative","Single",20330,2,15,"1",5,5,3,1,2,"Very High","Low","Good","High","Excellent",6.8
"677",25,"Stayed","Travel-Rarely","Research & Development",18,"College","Life Sciences","Male","1","Research Scientist","Single",36220,1,25,"0",2,0,2,2,1,"Very High","Medium","Good","High","Outstanding",7.98
"678",32,"Stayed","Travel-Rarely","Research & Development",10,"Master","Other","Female","1","Sales Executive","Married",42330,1,11,"0",10,5,10,0,8,"High","Very High","Best","High","Excellent",6.81
"679",45,"Stayed","Travel-Frequently","Research & Development",19,"Bachelor","Medical","Male","3","Laboratory Technician","Single",36810,3,17,"1",22,2,0,0,0,"N/A","Medium","Better","High","Excellent",6.02
"680",39,"Stayed","Travel-Rarely","Sales",29,"Below College","Marketing","Female","1","Laboratory Technician","Divorced",54600,6,13,"2",21,3,19,15,2,"High","Medium","Better","High","Excellent",8.39
"681",58,"Stayed","Travel-Rarely","Research & Development",27,"Bachelor","Other","Male","2","Laboratory Technician","Divorced",21870,1,18,"1",2,1,2,2,2,"Low","High","Better","Low","Excellent",6.04
"682",32,"Left","Travel-Rarely","Research & Development",5,"Bachelor","Technical Degree","Female","1","Sales Executive","Married",96020,1,13,"1",10,3,10,1,1,"Very High","High","Better","High","Excellent",6.49
"683",39,"Left","Travel-Rarely","Research & Development",18,"College","Life Sciences","Male","2","Laboratory Technician","Single",28360,0,20,"0",6,3,5,0,3,"High","Low","Better","Medium","Outstanding",7.72
"684",30,"Stayed","Travel-Rarely","Sales",9,"Below College","Marketing","Male","4","Research Director","Married",40890,0,18,"0",10,2,9,6,7,"Low","Very High","Better","Very High","Excellent",6.23
"685",36,"Stayed","Travel-Rarely","Sales",1,"Bachelor","Marketing","Male","2","Sales Executive","Married",166270,3,12,"0",10,5,7,1,7,"Very High","High","Better","Medium","Excellent",6.72
"686",46,"Stayed","Travel-Rarely","Sales",4,"Bachelor","Medical","Male","1","Research Scientist","Single",26190,6,12,"1",10,3,7,5,7,"Very High","Low","Best","Medium","Excellent",7.71
"687",28,"Stayed","Non-Travel","Research & Development",1,"Bachelor","Medical","Male","5","Sales Executive","Married",56790,0,13,"0",10,2,9,7,5,"High","Very High","Better","Medium","Excellent",8.01
"688",50,"Stayed","Travel-Rarely","Research & Development",20,"College","Medical","Female","5","Laboratory Technician","Married",154020,4,21,"0",25,3,3,1,2,"Very High","Low","Better","Medium","Outstanding",10.4
"689",40,"Left","Travel-Rarely","Sales",8,"Below College","Other","Male","1","Laboratory Technician","Single",59850,2,13,"3",9,1,5,1,0,"Very High","Medium","Better","Medium","Excellent",9.8
"690",52,"Left","Travel-Rarely","Research & Development",3,"College","Technical Degree","Male","3","Laboratory Technician","Single",25790,9,19,"1",10,1,8,7,7,"Medium","Medium","Good","High","Excellent",9.97
"691",30,"Stayed","Travel-Rarely","Research & Development",6,"Master","Medical","Female","1","Sales Executive","Married",30410,1,11,"1",9,2,9,0,8,"Medium","Low","Better","Medium","Excellent",10.41
"692",39,"Stayed","Travel-Rarely","Research & Development",26,"Below College","Medical","Male","2","Healthcare Representative","Single",34470,0,14,"0",9,5,8,1,7,"Low","High","Better","High","Excellent",6.01
"693",31,"Stayed","Non-Travel","Research & Development",1,"College","Medical","Male","1","Sales Executive","Divorced",195130,1,12,"1",10,1,10,9,6,"Very High","High","Good","Medium","Excellent",10.1
"694",41,"Stayed","Non-Travel","Sales",6,"Bachelor","Life Sciences","Female","1","Research Director","Single",27730,1,11,"0",19,3,19,11,9,"High","Medium","Better","High","Excellent",7.83
"695",31,"Left","Travel-Frequently","Research & Development",3,"Below College","Life Sciences","Male","1","Sales Executive","Single",71040,1,14,"1",3,3,3,2,2,"Very High","Medium","Best","High","Excellent",9.08
"696",44,"Left","Travel-Rarely","Sales",5,"Bachelor","Life Sciences","Male","1","Laboratory Technician","Married",63220,4,11,"1",10,2,3,1,2,"Low","Low","Best","High","Excellent",5.98
"697",42,"Stayed","Non-Travel","Research & Development",4,"Bachelor","Life Sciences","Male","2","Laboratory Technician","Married",20830,0,12,"2",21,3,20,2,10,"High","High","Good","Medium","Excellent",9.68
"698",55,"Stayed","Travel-Rarely","Sales",11,"Bachelor","Technical Degree","Male","2","Manufacturing Director","Married",83810,4,15,"1",23,3,19,9,11,"Very High","High","Better","High","Excellent",6.6
"699",56,"Stayed","Travel-Rarely","Sales",3,"College","Medical","Female","3","Manufacturing Director","Single",26910,6,16,"1",36,6,7,7,7,"Very High","Medium","Better","High","Excellent",8
"700",40,"Stayed","Non-Travel","Research & Development",1,"Below College","Life Sciences","Male","1","Laboratory Technician","Divorced",42860,9,15,"0",6,6,4,0,0,"High","High","Better","High","Excellent",7.31
"701",34,"Stayed","Travel-Rarely","Research & Development",3,"College","Technical Degree","Male","2","Research Director","Divorced",26590,0,24,"3",10,2,9,1,6,"Very High","Very High","Good","High","Outstanding",7.38
"702",40,"Stayed","Travel-Rarely","Sales",4,"Bachelor","Medical","Male","2","Sales Executive","Single",94340,1,13,"1",9,3,9,8,8,"High","Very High","Better","Medium","Excellent",5.98
"703",41,"Stayed","Travel-Frequently","Sales",1,"Master","Other","Female","2","Healthcare Representative","Divorced",55610,0,11,"0",10,2,9,1,7,"High","Low","Better","Medium","Excellent",7.67
"704",35,"Stayed","Travel-Frequently","Sales",1,"College","Technical Degree","Male","2","Manager","Single",66460,1,13,"1",9,2,9,1,1,"High","High","Better","Medium","Excellent",9.5
"705",51,"Stayed","Travel-Rarely","Sales",18,"College","Life Sciences","Male","4","Manufacturing Director","Divorced",77250,1,13,"1",33,2,33,0,10,"High","Medium","Better","High","Excellent",9.52
"706",38,"Stayed","Travel-Rarely","Sales",2,"Master","Life Sciences","Female","1","Research Scientist","Divorced",107250,3,18,"0",11,5,7,1,7,"Medium","Low","Better","Medium","Excellent",6.59
"707",34,"Stayed","Travel-Rarely","Sales",4,"Bachelor","Life Sciences","Male","2","Research Scientist","Single",88470,1,16,"0",10,3,10,9,6,"High","Low","Best","Very High","Excellent",7.25
"708",25,"Stayed","Travel-Rarely","Research & Development",6,"College","Medical","Female","4","Research Scientist","Married",20450,3,19,"0",7,3,3,1,2,"Very High","Very High","Good","High","Excellent",6.31
"709",58,"Left","Travel-Rarely","Sales",1,"Master","Technical Degree","Male","2","Sales Executive","Married",10090,7,13,"2",31,3,10,5,9,"High","Low","Good","Very High","Excellent",8.51
"710",40,"Stayed","Travel-Rarely","Research & Development",14,"Master","Medical","Female","1","Research Scientist","Married",33480,3,22,"0",7,2,4,0,3,"Medium","Medium","Better","Low","Outstanding",6.11
"711",36,"Stayed","Travel-Frequently","Sales",16,"College","Life Sciences","Male","1","Research Scientist","Married",12810,2,11,"0",17,2,15,6,13,"Low","Low","Good","High","Excellent",6.11
"712",48,"Stayed","Travel-Rarely","Research & Development",2,"Below College","Life Sciences","Male","2","Research Scientist","Single",28190,1,20,"0",11,2,10,0,8,"Very High","Very High","Better","Medium","Outstanding",7.62
"713",27,"Stayed","Travel-Rarely","Research & Development",2,"Bachelor","Life Sciences","Female","2","Laboratory Technician","Married",48510,8,18,"0",5,2,1,0,0,"High","Very High","Better","High","Excellent",7.12
"714",51,"Stayed","Travel-Rarely","Research & Development",4,"Below College","Medical","Female","3","Manufacturing Director","Single",40280,3,14,"0",29,3,5,0,3,"Very High","Medium","Good","High","Excellent",7.47
"715",18,"Stayed","Non-Travel","Research & Development",1,"Master","Medical","Male","2","Sales Executive","Single",27200,1,22,"1",0,2,0,0,0,"Very High","Very High","Best","High","Outstanding",7.89
"716",35,"Stayed","Travel-Rarely","Research & Development",1,"Master","Other","Female","2","Research Director","Married",81200,0,13,"0",10,2,9,0,0,"Very High","Very High","Better","Medium","Excellent",7.18
"717",27,"Stayed","Travel-Frequently","Research & Development",26,"Master","Medical","Female","1","Research Director","Single",46470,3,17,"0",8,3,6,0,0,"Very High","Very High","Better","Very High","Excellent",7.36
"718",55,"Left","Travel-Rarely","Research & Development",19,"Bachelor","Technical Degree","Male","1","Human Resources","Single",46800,6,14,"3",24,0,19,3,8,"Low","High","Good","Very High","Excellent",8.71
"719",56,"Stayed","Travel-Rarely","Research & Development",24,"Master","Life Sciences","Male","2","Laboratory Technician","Married",32210,4,15,"2",33,2,19,15,9,"Very High","Medium","Better","High","Excellent",10.4
"720",34,"Stayed","Non-Travel","Sales",1,"College","Life Sciences","Male","2","Research Scientist","Divorced",86210,1,17,"1",5,1,5,0,0,"Low","High","Better","High","Excellent",6.4
"721",40,"Stayed","Travel-Rarely","Research & Development",3,"Bachelor","Life Sciences","Male","2","Sales Executive","Divorced",45770,5,11,"1",15,3,12,11,8,"Medium","High","Better","Medium","Excellent",6.5
"722",34,"Stayed","Travel-Rarely","Research & Development",5,"Bachelor","Life Sciences","Male","1","Research Scientist","Married",45530,4,18,"1",10,2,8,7,7,"Medium","High","Better","Very High","Excellent",7.23
"723",31,"Left","Travel-Frequently","Research & Development",2,"College","Medical","Female","2","Manufacturing Director","Single",53960,7,17,"1",3,2,1,0,0,"High","Very High","Best","Low","Excellent",7.69
"724",35,"Left","Travel-Frequently","Research & Development",1,"College","Medical","Male","1","Manufacturing Director","Married",67960,0,13,"0",5,2,4,3,2,"Very High","High","Good","High","Excellent",9.14
"725",38,"Stayed","Travel-Frequently","Research & Development",7,"Bachelor","Medical","Female","2","Sales Representative","Divorced",76250,1,15,"0",4,2,4,0,3,"Very High","High","Better","Medium","Excellent",6.39
"726",34,"Stayed","Travel-Rarely","Research & Development",10,"Master","Other","Female","2","Laboratory Technician","Single",74120,1,24,"0",14,4,14,4,11,"High","Very High","Best","High","Outstanding",7.91
"727",28,"Stayed","Travel-Rarely","Research & Development",2,"Bachelor","Life Sciences","Female","2","Healthcare Representative","Married",111590,1,12,"0",5,2,5,0,4,"High","Low","Better","High","Excellent",6.72
"728",31,"Left","Travel-Rarely","Research & Development",15,"College","Life Sciences","Male","2","Sales Executive","Married",49600,1,15,"0",10,3,10,6,7,"Very High","High","Good","Medium","Excellent",10.9
"729",39,"Stayed","Travel-Rarely","Research & Development",17,"Master","Technical Degree","Female","2","Healthcare Representative","Married",104750,3,11,"1",8,3,5,1,4,"Low","Very High","Best","High","Excellent",10.25
"730",51,"Stayed","Travel-Frequently","Research & Development",20,"Bachelor","Medical","Male","2","Sales Executive","Married",148140,2,11,"1",14,2,4,3,2,"Medium","Medium","Better","Medium","Excellent",7.11
"731",41,"Stayed","Travel-Frequently","Research & Development",1,"Bachelor","Life Sciences","Male","4","Sales Executive","Divorced",191410,3,12,"1",12,2,6,3,3,"Very High","Very High","Good","High","Excellent",10.68
"732",37,"Stayed","Travel-Rarely","Research & Development",2,"College","Medical","Female","1","Healthcare Representative","Married",54050,7,15,"0",8,3,6,1,3,"High","High","Better","Very High","Excellent",10.4
"733",33,"Stayed","Travel-Frequently","Research & Development",2,"Bachelor","Medical","Female","1","Sales Executive","Married",87930,6,17,"0",8,2,5,1,2,"Medium","Very High","Best","High","Excellent",7.78
"734",32,"Stayed","Travel-Rarely","Research & Development",1,"Master","Medical","Male","5","Research Director","Married",191890,0,12,"1",4,3,3,1,2,"High","Medium","Good","High","Excellent",10.41
"735",39,"Stayed","Non-Travel","Research & Development",29,"College","Life Sciences","Male","2","Sales Executive","Married",38750,3,15,"0",13,3,6,0,5,"High","High","Better","High","Excellent",6.61
"736",25,"Stayed","Travel-Rarely","Research & Development",7,"Master","Life Sciences","Male","1","Sales Executive","Married",22160,2,13,"3",6,2,3,1,2,"Low","High","N/A","Medium","Excellent",7.23
"737",52,"Stayed","Travel-Frequently","Research & Development",2,"Below College","Life Sciences","Male","2","Sales Executive","Married",117130,2,14,"0",24,2,5,0,2,"Very High","High","Good","High","Excellent",9.11
"738",43,"Stayed","Travel-Rarely","Research & Development",2,"College","Medical","Male","1","Laboratory Technician","Single",78610,1,14,"2",20,1,20,1,8,"Low","High","Bad","High","Excellent",9.72
"739",27,"Stayed","Travel-Rarely","Research & Development",2,"Master","Life Sciences","Male","1","Human Resources","Married",37080,1,16,"2",6,2,6,4,4,"Very High","Very High","Better","High","Excellent",10.32
"740",27,"Left","Travel-Rarely","Research & Development",2,"Doctor","Life Sciences","Female","1","Research Scientist","Single",137700,1,18,"1",8,3,8,7,7,"Very High","High","Better","Very High","Excellent",10
"741",26,"Stayed","Travel-Rarely","Research & Development",2,"College","Other","Male","3","Laboratory Technician","Single",53040,0,20,"1",5,2,4,1,1,"Low","Very High","Better","High","Outstanding",6.3
"742",42,"Stayed","Travel-Rarely","Sales",23,"Bachelor","Marketing","Female","3","Research Scientist","Married",26420,0,13,"1",21,3,20,0,9,"High","Low","Better","High","Excellent",6.08
"743",52,"Stayed","Travel-Rarely","Research & Development",5,"College","Life Sciences","Female","1","Healthcare Representative","Married",27590,9,18,"1",12,6,5,0,4,"High","Low","Bad","High","Excellent",6.48
"744",37,"Stayed","Travel-Rarely","Research & Development",20,"Doctor","Life Sciences","Male","2","Manager","Single",68040,4,13,"1",8,1,3,0,2,"Low","High","Better","High","Excellent",7.52
"745",35,"Stayed","Travel-Frequently","Research & Development",6,"Master","Medical","Female","2","Research Director","Single",61420,2,15,"1",10,2,2,2,2,"High","Very High","Better","High","Excellent",7.69
"746",25,"Stayed","Travel-Rarely","Research & Development",1,"Master","Medical","Male","2","Sales Executive","Married",25000,4,14,"2",7,2,3,0,2,"Low","Very High","Good","Low","Excellent",7.97
"747",26,"Stayed","Travel-Rarely","Research & Development",29,"Master","Life Sciences","Male","1","Research Scientist","Single",63890,0,22,"0",8,2,7,0,7,"High","Low","Better","Medium","Outstanding",6.81
"748",29,"Stayed","Travel-Rarely","Sales",9,"Bachelor","Life Sciences","Male","1","Laboratory Technician","Single",111030,1,12,"0",10,5,10,0,9,"Medium","Low","Good","Medium","Excellent",6.22
"749",49,"Left","Travel-Frequently","Sales",6,"Doctor","Medical","Female","2","Healthcare Representative","Single",23420,3,18,"0",20,2,4,1,3,"Low","Low","Better","High","Excellent",7.08
"750",29,"Left","Travel-Frequently","Sales",3,"College","Marketing","Female","2","Laboratory Technician","Single",68110,0,15,"1",9,2,8,7,7,"High","Very High","Better","High","Excellent",8.58
"751",54,"Stayed","Travel-Rarely","Sales",1,"Bachelor","Medical","Female","2","Manager","Single",22970,6,18,"2",29,2,20,12,7,"Very High","Very High","Good","Medium","Excellent",6.2
"752",58,"Stayed","Travel-Rarely","Sales",22,"Bachelor","Life Sciences","Female","2","Laboratory Technician","Married",24500,3,12,"1",32,2,9,1,5,"Very High","Low","Better","High","Excellent",10.61
"753",55,"Stayed","Travel-Rarely","Research & Development",7,"Bachelor","Life Sciences","Female","3","Research Scientist","Divorced",50930,2,16,"1",31,3,7,0,0,"Medium","Very High","Best","High","Excellent",7.48
"754",36,"Stayed","Travel-Rarely","Research & Development",1,"Bachelor","Medical","Male","2","Sales Executive","Single",53090,3,13,"0",15,5,5,0,1,"Low","Medium","Better","High","Excellent",9.4
"755",31,"Left","Travel-Frequently","Sales",4,"Bachelor","Life Sciences","Male","2","Manager","Single",30570,1,19,"0",1,3,1,0,0,"Medium","High","Better","High","Excellent",7.3
"756",30,"Stayed","Travel-Rarely","Sales",3,"Bachelor","Life Sciences","Male","3","Sales Executive","Divorced",51210,7,13,"0",8,4,3,0,2,"Very High","Low","Better","High","Excellent",7.54
"757",31,"Stayed","Travel-Rarely","Research & Development",1,"Bachelor","Medical","Male","1","Laboratory Technician","Single",168560,3,12,"1",9,3,3,1,0,"Low","Medium","Best","High","Excellent",7.29
"758",34,"Stayed","Travel-Frequently","Sales",2,"Below College","Marketing","Female","5","Manager","Divorced",26860,5,11,"0",10,3,4,1,3,"Very High","Low","Better","Very High","Excellent",7.6
"759",31,"Left","Travel-Rarely","Sales",20,"Bachelor","Technical Degree","Male","1","Research Scientist","Single",61800,1,14,"1",1,2,1,0,0,"Low","Medium","Best","Low","Excellent",8.04
"760",27,"Stayed","Travel-Rarely","Human Resources",11,"Master","Medical","Male","4","Sales Executive","Married",66320,0,16,"0",6,3,5,1,4,"Medium","Low","Best","High","Excellent",7.19
"761",36,"Stayed","Travel-Rarely","Sales",1,"Bachelor","Marketing","Male","2","Research Scientist","Single",35050,1,12,"2",10,2,10,1,8,"Low","Very High","Good","Medium","Excellent",6.33
"762",36,"Stayed","Travel-Rarely","Research & Development",24,"Bachelor","Other","Female","3","Research Director","Married",63970,4,14,"1",11,3,3,0,2,"High","Low","Good","High","Excellent",7.32
"763",47,"Stayed","Travel-Rarely","Research & Development",23,"Master","Life Sciences","Female","2","Sales Executive","Married",62740,7,14,"2",17,0,6,1,2,"Low","Very High","Good","High","Excellent",7.79
"764",25,"Left","Travel-Rarely","Sales",16,"Master","Life Sciences","Male","2","Research Scientist","Married",198590,3,19,"0",6,3,3,2,2,"Low","Low","Better","Medium","Excellent",7.22
"765",37,"Stayed","Non-Travel","Sales",8,"Master","Medical","Male","1","Healthcare Representative","Single",75870,0,22,"1",7,5,6,1,3,"High","High","Bad","High","Outstanding",7.6
"766",56,"Stayed","Travel-Rarely","Research & Development",10,"Master","Other","Male","2","Sales Representative","Married",42580,2,16,"0",5,2,3,1,0,"Low","Low","Best","High","Excellent",6.62
"767",47,"Stayed","Travel-Rarely","Research & Development",3,"College","Medical","Male","2","Laboratory Technician","Married",43640,3,11,"1",26,3,20,5,6,"Low","High","Best","High","Excellent",6.3
"768",24,"Stayed","Travel-Rarely","Research & Development",5,"Below College","Other","Male","1","Manufacturing Director","Married",43350,1,15,"1",5,5,5,0,3,"Very High","High","Better","High","Excellent",9.68
"769",32,"Stayed","Travel-Rarely","Sales",4,"Bachelor","Marketing","Male","1","Research Scientist","Married",53260,4,14,"1",7,2,4,0,3,"Very High","Very High","Good","High","Excellent",7.48
"770",34,"Stayed","Travel-Rarely","Research & Development",9,"College","Medical","Male","1","Sales Executive","Married",32800,5,13,"0",7,3,5,0,2,"Very High","Medium","Good","High","Excellent",6.1
"771",41,"Stayed","Travel-Rarely","Research & Development",26,"Bachelor","Medical","Female","3","Sales Executive","Married",54850,2,17,"2",7,2,4,0,3,"Medium","High","Good","High","Excellent",10.5
"772",40,"Stayed","Non-Travel","Sales",3,"College","Life Sciences","Male","1","Sales Executive","Divorced",43420,3,11,"1",11,6,8,0,7,"High","High","Best","Medium","Excellent",6.39
"773",31,"Stayed","Travel-Rarely","Research & Development",16,"Bachelor","Medical","Male","2","Human Resources","Divorced",27820,1,19,"1",13,5,13,9,9,"Low","Very High","Better","High","Excellent",6.68
"774",46,"Left","Travel-Rarely","Research & Development",18,"Below College","Medical","Male","1","Manufacturing Director","Divorced",59800,4,11,"1",28,2,7,4,3,"Low","Very High","Best","High","Excellent",6.67
"775",39,"Left","Non-Travel","Research & Development",2,"Master","Medical","Male","2","Manufacturing Director","Single",43810,2,15,"2",11,1,1,0,0,"Low","Low","Best","Medium","Excellent",9.41
"776",31,"Left","Travel-Frequently","Sales",2,"Bachelor","Medical","Male","2","Sales Executive","Single",25720,1,13,"3",10,3,10,4,7,"High","Medium","Better","High","Excellent",6.81
"777",45,"Stayed","Travel-Rarely","Sales",10,"College","Marketing","Male","1","Sales Executive","Divorced",38330,2,14,"0",24,1,7,0,7,"Medium","Low","Better","High","Excellent",10.5
"778",31,"Stayed","Travel-Rarely","Research & Development",16,"Master","Life Sciences","Male","3","Human Resources","Single",42440,9,13,"0",8,3,3,0,2,"Very High","Medium","Better","High","Excellent",6.65
"779",31,"Left","Travel-Frequently","Research & Development",7,"Master","Life Sciences","Male","1","Laboratory Technician","Married",65000,6,23,"1",7,5,2,2,2,"Medium","Very High","Bad","High","Outstanding",10.31
"780",45,"Stayed","Travel-Rarely","Research & Development",1,"College","Life Sciences","Female","1","Research Scientist","Married",184300,4,12,"1",10,5,3,1,2,"Medium","Very High","Best","High","Excellent",10.61
"781",48,"Stayed","Travel-Rarely","Research & Development",24,"Bachelor","Technical Degree","Male","2","Research Scientist","Divorced",16010,4,12,"0",15,3,2,2,2,"High","Low","Better","High","Excellent",7.12
"782",34,"Left","Travel-Rarely","Research & Development",7,"Master","Medical","Male","2","Research Scientist","Married",26940,1,16,"1",2,3,2,2,2,"Low","High","Better","High","Excellent",7.41
"783",40,"Stayed","Non-Travel","Research & Development",25,"Master","Other","Female","1","Sales Executive","Divorced",31490,2,15,"1",16,1,9,4,8,"Very High","Medium","Better","Medium","Excellent",8.03
"784",28,"Stayed","Travel-Rarely","Research & Development",1,"College","Technical Degree","Female","1","Research Scientist","Single",176390,0,13,"1",6,0,5,1,3,"Very High","Low","Better","High","Excellent",6.49
"785",44,"Stayed","Non-Travel","Research & Development",5,"Bachelor","Life Sciences","Male","1","Laboratory Technician","Single",23190,3,18,"0",7,4,5,0,3,"High","High","Better","Medium","Excellent",6.6
"786",53,"Stayed","Travel-Rarely","Research & Development",2,"Master","Technical Degree","Male","2","Manager","Single",116910,4,20,"0",35,2,9,8,8,"Very High","Medium","Good","High","Outstanding",6.91
"787",49,"Stayed","Travel-Rarely","Research & Development",7,"Bachelor","Life Sciences","Male","3","Laboratory Technician","Married",53240,2,19,"0",20,2,3,1,2,"Low","High","Good","Low","Excellent",6.78
